Property Type,Region,Avg Sale To List,Homes Sold,Inventory,Median Dom,Median List Ppsf,Median List Price,Median Sale Ppsf,Median Sale Price,months_of_supply,New Listings,off_market_in_two_weeks,pending_sales,Period Begin,Period Duration,Period End,Price Drops,Sold Above List
All Residential,"Chicago, IL - West Pullman",0.960290573,58,184,54,27.49490835,30000,22.92578722,$27K,,110,0.120689655,71,7/1/2012,90,9/30/2012,,0.24137931
All Residential,"Chicago, IL - East Humboldt Park",0.964702415,48,91,53,141.7933131,252000,105.9375,$190K,,72,0.229166667,69,7/1/2012,90,9/30/2012,,0.291666667
All Residential,"Chicago, IL - North Center",0.96526859,170,183,64.5,258.1081081,424499.5,243.5326087,$425K,,154,0.223529412,165,7/1/2012,90,9/30/2012,,0.134502924
All Residential,"Chicago, IL - Near South Side",0.989118329,186,142,55,253.9408973,299900,235.5172375,$277K,,155,0.198924731,218,7/1/2012,90,9/30/2012,,0.376344086
All Residential,"Chicago, IL - Union Ridge",0.960469418,18,30,27,175.7611336,229000,162.7821317,$238K,,28,0.277777778,23,7/1/2012,90,9/30/2012,,0.111111111
All Residential,"Chicago, IL - Wrightwood",0.954897142,38,46,51,285.3571429,499900,291.5463918,$537K,,51,0.131578947,47,7/1/2012,90,9/30/2012,,0.052631579
All Residential,"Chicago, IL - Bryn Mawr Historic District",0.908844217,10,35,100.5,126.4943074,130450,141.6666667,$160K,,19,0,18,7/1/2012,90,9/30/2012,,0
All Residential,"Chicago, IL - Brighton Park",0.979589396,55,99,37,52.7638191,105000,65.47619048,$112K,,80,0.363636364,65,7/1/2012,90,9/30/2012,,0.272727273
All Residential,"Chicago, IL - Old Irving Park",0.935850209,41,67,45,146.1038961,280000,137.9394531,$234K,,47,0.317073171,56,7/1/2012,90,9/30/2012,,0.12195122
All Residential,"Chicago, IL - Northwest Side",0.962219865,621,1015,51,116.5022422,169000,105,$149K,,853,0.238325282,917,7/1/2012,90,9/30/2012,,0.272141707
All Residential,"Chicago, IL - Pulaski Park",0.916661378,7,17,20,216.3839286,375000,187.0748299,$285K,,19,0.428571429,11,7/1/2012,90,9/30/2012,,0
All Residential,"Chicago, IL - Oakland",0.967978603,13,31,76,78.49829352,109800,121.1743806,$216K,,21,0.230769231,26,7/1/2012,90,9/30/2012,,0.230769231
All Residential,"Chicago, IL - Gold Coast",0.93445549,116,206,91,329.969697,550000,279.0697674,$411K,,128,0.181034483,133,7/1/2012,90,9/30/2012,,0.043103448
All Residential,"Chicago, IL - East Rogers Park",0.936134134,125,200,63.5,88.04230769,99000,77.77777778,$78K,,179,0.176,197,7/1/2012,90,9/30/2012,,0.16
All Residential,"Chicago, IL - Old Town",0.962563817,143,124,58,280.5405405,342500,254.375,$330K,,128,0.160839161,143,7/1/2012,90,9/30/2012,,0.118881119
All Residential,"Chicago, IL - South Shore",0.975127282,71,242,60,32.5,41500,28.02757965,$44K,,152,0.098591549,120,7/1/2012,90,9/30/2012,,0.333333333
All Residential,"Chicago, IL - Magnolia Glen",0.9446752,11,16,49,175,207000,113.6363636,$125K,,15,0.090909091,14,7/1/2012,90,9/30/2012,,0.090909091
All Residential,"Chicago, IL - Tri-Taylor",0.963310829,10,26,79,85.08892354,108905,89.48365704,$99K,,22,0.3,26,7/1/2012,90,9/30/2012,,0.2
All Residential,"Chicago, IL - Grand Crossing",0.970114203,16,70,65.5,29.20881272,52000,18.76996805,$29K,,42,0,35,7/1/2012,90,9/30/2012,,0.5
All Residential,"Chicago, IL - Budlong Woods",0.986354289,31,37,46,112.4291286,110000,108.0644856,$92K,,33,0.096774194,35,7/1/2012,90,9/30/2012,,0.322580645
All Residential,"Chicago, IL - Chatham",0.98477993,55,126,57.5,46.42857143,69000,36.5660985,$51K,,89,0.236363636,83,7/1/2012,90,9/30/2012,,0.357142857
All Residential,"Chicago, IL - Archer Highlands",0.944250768,4,9,34.5,85.51914828,119950,110.3137911,$124K,,8,0,6,7/1/2012,90,9/30/2012,,0.25
All Residential,"Chicago, IL - Chinatown",0.95805809,7,16,76,207.4166667,249500,208.0536913,$255K,,14,0.142857143,8,7/1/2012,90,9/30/2012,,0.142857143
All Residential,"Chicago, IL - East Beverly",0.978855683,9,26,59,104.8960449,189900,85.12544803,$162K,,17,0.333333333,14,7/1/2012,90,9/30/2012,,0.333333333
All Residential,"Chicago, IL - The Chicago University",1.027337488,9,20,62,22.37851662,40000,31.25,$40K,,16,0.111111111,15,7/1/2012,90,9/30/2012,,0.777777778
All Residential,"Chicago, IL - West Walker",0.985762475,13,12,47,161.95,201950,141.9354839,$175K,,14,0.153846154,15,7/1/2012,90,9/30/2012,,0.230769231
All Residential,"Chicago, IL - Edgebrook",0.962672066,17,21,66,245.4469881,424499.5,250.8905852,$445K,,16,0.176470588,18,7/1/2012,90,9/30/2012,,0.117647059
All Residential,"Chicago, IL - Heart of Chicago",0.975202281,11,31,62,67.77693393,167450,83.44433062,$135K,,20,0.272727273,21,7/1/2012,90,9/30/2012,,0.363636364
All Residential,"Chicago, IL - McKinley Park",0.98715577,20,33,48.5,101.6641191,177200,112.5921202,$150K,,32,0.1,28,7/1/2012,90,9/30/2012,,0.45
All Residential,"Chicago, IL - Noble Square",0.961205093,22,24,30.5,227.7199958,394450,200.8671971,$351K,,34,0.272727273,31,7/1/2012,90,9/30/2012,,0.045454545
All Residential,"Chicago, IL - Wrightwood",0.920982911,20,43,42.5,83.82229673,102500,67.68377483,$110K,,42,0.3,40,7/1/2012,90,9/30/2012,,0.2
All Residential,"Chicago, IL - Bucktown",0.954158333,73,89,60,233.8624567,455425,235.2941176,$408K,,72,0.178082192,93,7/1/2012,90,9/30/2012,,0.082191781
All Residential,"Chicago, IL - Edgewater Beach",0.951047975,99,169,75.5,133.1666667,115000,123.2695811,$110K,,137,0.121212121,142,7/1/2012,90,9/30/2012,,0.191919192
All Residential,"Chicago, IL - West Rogers Park",0.958928152,141,199,54,96.35714286,132400,70.29478458,$93K,,144,0.24822695,156,7/1/2012,90,9/30/2012,,0.276595745
All Residential,"Chicago, IL - South Loop",0.980983768,267,247,57,236.3955153,271000,225.1184834,$262K,,273,0.209737828,317,7/1/2012,90,9/30/2012,,0.325842697
All Residential,"Chicago, IL - K-Town",1.039779044,9,13,50,13.71967655,49900,9.862856803,$24K,,10,0.111111111,9,7/1/2012,90,9/30/2012,,0.444444444
All Residential,"Chicago, IL - Far Southwest Side",0.958772887,382,771,50.5,88.33136936,109900,76.5,$100K,,578,0.217277487,531,7/1/2012,90,9/30/2012,,0.214659686
All Residential,"Chicago, IL - Chrysler Village",0.921791385,3,13,44,86.56798246,80450,143.9820023,$128K,,12,0,15,7/1/2012,90,9/30/2012,,0.333333333
All Residential,"Chicago, IL - Magnificent Mile",0.959924587,25,49,92.5,444.1687345,699000,338.7701909,$475K,,39,0.08,26,7/1/2012,90,9/30/2012,,0.12
All Residential,"Chicago, IL - Hyde Park",0.935478118,72,144,112,148.7942708,178000,129.6482412,$170K,,78,0.111111111,75,7/1/2012,90,9/30/2012,,0.055555556
All Residential,"Chicago, IL - Back of the Yards",0.977708137,55,173,61.5,23.93045278,39000,21.14229249,$32K,,139,0.145454545,91,7/1/2012,90,9/30/2012,,0.345454545
All Residential,"Chicago, IL - Waclawowo",0.975578471,13,17,69,146.2895657,168900,91.71195652,$175K,,19,0.153846154,14,7/1/2012,90,9/30/2012,,0.307692308
All Residential,"Chicago, IL - Ashburn Estates",0.955246288,11,27,165,129.3900185,177400,133.3899745,$155K,,20,0.090909091,17,7/1/2012,90,9/30/2012,,0.181818182
All Residential,"Chicago, IL - Marshall Square",1.018714728,7,21,26,34.55964326,70000,26.5625,$34K,,13,0.428571429,19,7/1/2012,90,9/30/2012,,0.285714286
All Residential,"Chicago, IL - Nortown",1.02420565,8,10,21.5,60.87586207,59900,55,$51K,,17,0.375,19,7/1/2012,90,9/30/2012,,0.5
All Residential,"Chicago, IL - Dunning",0.950694706,108,203,40,138.4048466,160000,119.9763934,$148K,,172,0.314814815,172,7/1/2012,90,9/30/2012,,0.240740741
All Residential,"Chicago, IL - North Side",0.964241296,1429,1591,66,236.4239766,379949.5,223.9737274,$358K,,1430,0.185444367,1521,7/1/2012,90,9/30/2012,,0.135569532
All Residential,"Chicago, IL - The Loop",0.961870197,226,304,64,302.8571429,324900,285,$285K,,307,0.238938053,253,7/1/2012,90,9/30/2012,,0.181415929
All Residential,"Chicago, IL - Brainerd",0.94744209,18,50,48.5,80.78248527,109500,34.7826087,$43K,,37,0.222222222,27,7/1/2012,90,9/30/2012,,0.111111111
All Residential,"Chicago, IL - West Lake View",0.960560668,38,35,47.5,250.6805556,394950,265.8661514,$404K,,30,0.131578947,38,7/1/2012,90,9/30/2012,,0.131578947
All Residential,"Chicago, IL - Hermosa",0.979463306,31,74,40,98.43813387,137950,64.40943263,$105K,,62,0.290322581,52,7/1/2012,90,9/30/2012,,0.322580645
All Residential,"Chicago, IL - South Austin",0.948629919,59,148,78,25.28614657,43450,19.07169118,$26K,,108,0.186440678,73,7/1/2012,90,9/30/2012,,0.220338983
All Residential,"Chicago, IL - Armour Square",0.917285963,9,21,76,207.4166667,264500,182.7751196,$255K,,20,0.111111111,9,7/1/2012,90,9/30/2012,,0.111111111
All Residential,"Chicago, IL - Schorsch Village",0.9515562,20,42,35,140.6567631,168000,120.7054176,$149K,,33,0.35,41,7/1/2012,90,9/30/2012,,0.25
All Residential,"Chicago, IL - Ashburn",0.956425065,124,222,53.5,94.25939731,105000,87.56411072,$104K,,173,0.209677419,173,7/1/2012,90,9/30/2012,,0.209677419
All Residential,"Chicago, IL - Portage Park",0.9606769,151,239,56,129.5555556,199000,118.917881,$173K,,188,0.165562914,203,7/1/2012,90,9/30/2012,,0.225165563
All Residential,"Chicago, IL - Morgan Park",0.95316142,36,106,87,92.21022423,137450,85.11586453,$101K,,67,0.194444444,57,7/1/2012,90,9/30/2012,,0.222222222
All Residential,"Chicago, IL - Kosciuszko Park",0.998268279,15,23,28,98.35454282,129900,75.30120482,$150K,,16,0.333333333,12,7/1/2012,90,9/30/2012,,0.466666667
All Residential,"Chicago, IL - East Village",0.961515906,48,33,41.5,226.8181818,439000,228.8888889,$387K,,44,0.291666667,48,7/1/2012,90,9/30/2012,,0.083333333
All Residential,"Chicago, IL - East Garfield Park",0.91832171,45,85,62,22.81045752,41200,24.56140351,$35K,,57,0.244444444,58,7/1/2012,90,9/30/2012,,0.177777778
All Residential,"Chicago, IL - Kenwood",0.929673661,37,122,70,90.45454546,160000,100.8230453,$205K,,75,0.162162162,69,7/1/2012,90,9/30/2012,,0.189189189
All Residential,"Chicago, IL - Pill Hill / Calument Heights",0.985109683,29,52,63,61.77966102,92000,48.88070967,$65K,,35,0.172413793,40,7/1/2012,90,9/30/2012,,0.310344828
All Residential,"Chicago, IL - South Lawndale / Little Village",1.003796976,47,92,30,40.494561,67700,35.78431373,$46K,,79,0.255319149,77,7/1/2012,90,9/30/2012,,0.404255319
All Residential,"Chicago, IL - Avondale",0.974216237,102,124,68,126.7993226,189500,97.0609319,$150K,,124,0.215686275,118,7/1/2012,90,9/30/2012,,0.264705882
All Residential,"Chicago, IL - Edgewater",0.95648516,206,306,68,145.4504644,175494,141.6666667,$176K,,265,0.17961165,274,7/1/2012,90,9/30/2012,,0.174757282
All Residential,"Chicago, IL - Uptown",0.961823104,176,274,71,169.6842105,209000,154.8106061,$205K,,207,0.136363636,230,7/1/2012,90,9/30/2012,,0.181818182
All Residential,"Chicago, IL - South Old Irving Park",0.930253601,10,13,88.5,112.6569111,169000,82.48639264,$183K,,11,0.1,13,7/1/2012,90,9/30/2012,,0.3
All Residential,"Chicago, IL - Goose Island",0.991171255,21,10,43,242.5742574,334450,242.9639972,$333K,,20,0.285714286,29,7/1/2012,90,9/30/2012,,0.428571429
All Residential,"Chicago, IL - Big Oaks",0.951570769,21,23,51,192.5102881,233950,164.755789,$206K,,24,0.285714286,29,7/1/2012,90,9/30/2012,,0.19047619
All Residential,"Chicago, IL - South Chicago",0.973440065,39,120,78.5,26.09429673,29900,17.10485255,$30K,,87,0.076923077,63,7/1/2012,90,9/30/2012,,0.307692308
All Residential,"Chicago, IL - Far Southeast Side",0.960642925,359,965,59,33.37378641,45000,29.03225807,$35K,,645,0.167130919,485,7/1/2012,90,9/30/2012,,0.272222222
All Residential,"Chicago, IL - Wrigleyville",0.956583926,20,30,87.5,262.45,399450,240,$419K,,20,0,23,7/1/2012,90,9/30/2012,,0.05
All Residential,"Chicago, IL - East Side",0.961965952,31,68,60,68.625,72000,67.93478261,$70K,,44,0.193548387,38,7/1/2012,90,9/30/2012,,0.193548387
All Residential,"Chicago, IL - Ukrainian Village",0.993271766,39,40,51,218.5,424000,189.3784153,$350K,,44,0.282051282,49,7/1/2012,90,9/30/2012,,0.333333333
All Residential,"Chicago, IL - Humboldt Park",0.98343445,169,318,56,60.44501694,120000,64.15206008,$120K,,263,0.201183432,234,7/1/2012,90,9/30/2012,,0.295857988
All Residential,"Chicago, IL - Hollywood Park",1.031432189,7,6,72,144.4272446,219000,165.2601969,$215K,,9,0.428571429,10,7/1/2012,90,9/30/2012,,0.285714286
All Residential,"Chicago, IL - Archer Heights",0.986582,18,23,59,101.2132413,126000,87.19869239,$124K,,24,0.222222222,32,7/1/2012,90,9/30/2012,,0.277777778
All Residential,"Chicago, IL - Central Station",0.982574059,70,49,70,295,389000,265.9863946,$361K,,57,0.2,88,7/1/2012,90,9/30/2012,,0.385714286
All Residential,"Chicago, IL - Schorsch Forest View",0.917580727,10,12,139,202.195363,299900,135.2914736,$176K,,11,0.2,9,7/1/2012,90,9/30/2012,,0.1
All Residential,"Chicago, IL - Beverly",0.97607177,50,100,56,142.797619,258000,134.4,$210K,,67,0.22,64,7/1/2012,90,9/30/2012,,0.2
All Residential,"Chicago, IL - West Town",0.967376879,385,418,45.5,222.2063492,370950,207.7819549,$341K,,464,0.27012987,430,7/1/2012,90,9/30/2012,,0.176623377
All Residential,"Chicago, IL - Calumet Heights",0.985109683,29,52,63,61.77966102,92000,48.88070967,$65K,,35,0.172413793,40,7/1/2012,90,9/30/2012,,0.310344828
All Residential,"Chicago, IL - Hamlin Park",0.973531162,54,40,65,240,389999,232.6172686,$355K,,37,0.277777778,43,7/1/2012,90,9/30/2012,,0.203703704
All Residential,"Chicago, IL - Stony Island Park",0.936271545,8,22,63.5,31.25888289,45900,31.63919087,$44K,,24,0.125,12,7/1/2012,90,9/30/2012,,0.25
All Residential,"Chicago, IL - Vittum Park",0.992211832,18,16,32,116.1571429,125950,106.486569,$118K,,12,0.222222222,15,7/1/2012,90,9/30/2012,,0.388888889
All Residential,"Chicago, IL - East Ukrainian Village",0.965588048,73,59,46,231.0879569,439000,229.1666667,$393K,,73,0.287671233,76,7/1/2012,90,9/30/2012,,0.109589041
All Residential,"Chicago, IL - Rosehill",0.991847602,11,9,126,149,182499.5,221.5030898,$355K,,6,0.090909091,9,7/1/2012,90,9/30/2012,,0.181818182
All Residential,"Chicago, IL - Fernwood",0.949202306,16,52,50.5,32.32053411,30000,18.79868914,$24K,,33,0.1875,17,7/1/2012,90,9/30/2012,,0.3125
All Residential,"Chicago, IL - Montclare",0.958562768,34,43,48,114.0464286,147200,104.9,$131K,,46,0.205882353,50,7/1/2012,90,9/30/2012,,0.294117647
All Residential,"Chicago, IL - Golden Ghetto",1.056975045,34,58,33,62.45,60000,55.29411765,$60K,,54,0.205882353,59,7/1/2012,90,9/30/2012,,0.5
All Residential,"Chicago, IL - West Side",0.974720347,1050,1639,48,95.59375,199000,116.5371867,$194K,,1463,0.236190476,1375,7/1/2012,90,9/30/2012,,0.246666667
All Residential,"Chicago, IL - Mayfair",0.995169663,12,28,68.5,119.8535354,189900,131.5789474,$189K,,17,0.083333333,21,7/1/2012,90,9/30/2012,,0.25
All Residential,"Chicago, IL - Wicker Park",0.967170649,101,105,43,258.0322581,399900,237.2685185,$376K,,126,0.316831683,103,7/1/2012,90,9/30/2012,,0.118811881
All Residential,"Chicago, IL - Sheridan Station Corridor",0.983763032,4,12,73.5,217.6245211,269500,206.6798942,$325K,,8,0,6,7/1/2012,90,9/30/2012,,0.25
All Residential,"Chicago, IL - Jeffrey Manor",0.96987737,7,19,37.5,24.91398797,28950,21.96069252,$25K,,14,0.285714286,9,7/1/2012,90,9/30/2012,,0.285714286
All Residential,"Chicago, IL - Tri-taylor",0.963310829,10,26,79,85.08892354,108905,89.48365704,$99K,,22,0.3,26,7/1/2012,90,9/30/2012,,0.2
All Residential,"Chicago, IL - Sheffield",0.953608572,49,55,63,318.1216931,599500,306.7307692,$585K,,44,0.183673469,53,7/1/2012,90,9/30/2012,,0.12244898
All Residential,"Chicago, IL - North Lawndale",1.044800481,57,112,37,23.46938776,50900,12.13818861,$28K,,86,0.315789474,66,7/1/2012,90,9/30/2012,,0.315789474
All Residential,"Chicago, IL - Hyde Park Kenwood Historic District",0.932973236,71,137,109,136.25,175000,139.9126794,$176K,,82,0.098591549,81,7/1/2012,90,9/30/2012,,0.056338028
All Residential,"Chicago, IL - Marquette Park",0.977003261,57,185,51,38.65145352,61450,35,$50K,,130,0.175438596,104,7/1/2012,90,9/30/2012,,0.298245614
All Residential,"Chicago, IL - Southwest Side",0.976094415,657,1504,54,58.51015406,85000,65.90909091,$93K,,1147,0.211567732,968,7/1/2012,90,9/30/2012,,0.287671233
All Residential,"Chicago, IL - Palmer Square",0.933459792,8,11,48,163.4505315,249500,185,$241K,,14,0.25,11,7/1/2012,90,9/30/2012,,0
All Residential,"Chicago, IL - Fulton Market",0.96650268,6,7,20,229.1666667,337450,220,$718K,,4,0.5,11,7/1/2012,90,9/30/2012,,0
All Residential,"Chicago, IL - Irving Woods",0.924653311,14,18,34,165.8479473,173750,136.0115733,$163K,,22,0.357142857,22,7/1/2012,90,9/30/2012,,0.071428571
All Residential,"Chicago, IL - West Chesterfield",1.02408701,10,19,13,40.80551012,46650,65.08712475,$94K,,15,0.6,11,7/1/2012,90,9/30/2012,,0.5
All Residential,"Chicago, IL - Park Manor",0.924907703,27,102,49,28.84615385,59000,33.48794063,$63K,,61,0.185185185,33,7/1/2012,90,9/30/2012,,0.222222222
All Residential,"Chicago, IL - Washington Park",0.983718121,23,45,69,28.76470588,48900,23.74431818,$38K,,33,0.217391304,38,7/1/2012,90,9/30/2012,,0.347826087
All Residential,"Chicago, IL - Loyola",0.938833435,85,135,56.5,83.0060423,95000,76.38888889,$80K,,115,0.2,130,7/1/2012,90,9/30/2012,,0.188235294
All Residential,"Chicago, IL - Albany Park",0.977056298,87,135,69,117.6798695,179750,92.08731242,$162K,,123,0.218390805,135,7/1/2012,90,9/30/2012,,0.284090909
All Residential,"Chicago, IL - West Ridge",0.979416279,198,282,44,82.75862069,99000,68,$70K,,235,0.242424242,257,7/1/2012,90,9/30/2012,,0.333333333
All Residential,"Chicago, IL - Washington Heights",0.954909598,54,102,59,54.53422511,67665.5,35.31552288,$41K,,77,0.259259259,60,7/1/2012,90,9/30/2012,,0.259259259
All Residential,"Chicago, IL",0.966977415,2716,12473,61,122.6714801,169900,137.7569295,$190K,4.6,3372,0.196612666,3808,8/1/2012,30,8/31/2012,0.238114327,0.221649485
All Residential,"Chicago, IL - Buena Park",0.962250715,57,85,72,173.0769231,210000,141.4827586,$175K,,60,0.192982456,61,8/1/2012,90,10/31/2012,,0.175438596
All Residential,"Chicago, IL - Pullman",0.959695407,11,35,79,41.39834407,70000,47.11691939,$40K,,23,0.090909091,17,8/1/2012,90,10/31/2012,,0.090909091
All Residential,"Chicago, IL - Bridgeport",0.944983525,49,95,61.5,136.754386,247490,141.0227273,$220K,,68,0.244897959,64,8/1/2012,90,10/31/2012,,0.163265306
All Residential,"Chicago, IL - Edison Park",0.951140919,29,48,52.5,214.0186916,267450,197.6377953,$245K,,42,0.310344828,32,8/1/2012,90,10/31/2012,,0.172413793
All Residential,"Chicago, IL - Homan Square",0.933434252,6,13,101,16.66063434,42450,14.62226375,$34K,,10,0,13,8/1/2012,90,10/31/2012,,0.166666667
All Residential,"Chicago, IL - Kennedy Park",0.962225198,9,7,55,128.9400922,139900,113.6363636,$120K,,3,0,5,8/1/2012,90,10/31/2012,,0.111111111
All Residential,"Chicago, IL - Graceland West",0.957302266,22,17,86,245.6363636,392450,227.3076923,$388K,,8,0.181818182,18,8/1/2012,90,10/31/2012,,0.090909091
All Residential,"Chicago, IL - Andersonville",0.969041798,60,56,52,178.9655172,274500,212.6484603,$306K,,52,0.183333333,61,8/1/2012,90,10/31/2012,,0.216666667
All Residential,"Chicago, IL - Roscoe Village",0.958691463,37,38,66,273.011257,525000,236.4864865,$405K,,31,0.216216216,35,8/1/2012,90,10/31/2012,,0.027027027
All Residential,"Chicago, IL - West Elsdon",0.961391967,44,68,73,104.7211234,112450,103.1390135,$130K,,64,0.272727273,65,8/1/2012,90,10/31/2012,,0.244444444
All Residential,"Chicago, IL metro area",0.954655828,8066,38938,64,108.8709677,165000,109.3360033,$170K,4.8,9723,0.195636003,10955,8/1/2012,30,8/31/2012,0.279752427,0.17902306
All Residential,"Chicago, IL - Rosehill",0.99800854,16,11,36,94.06106232,224900,90.8873453,$177K,,15,0.25,21,8/1/2012,90,10/31/2012,,0.4375
All Residential,"Chicago, IL - River West",0.959433813,20,10,47.5,214.4444444,282500,205.0542602,$300K,,11,0.25,10,8/1/2012,90,10/31/2012,,0.15
All Residential,"Chicago, IL - Irving Park",0.958985571,127,219,52.5,124.6673588,179900,133.3047945,$185K,,173,0.220472441,202,8/1/2012,90,10/31/2012,,0.236220472
All Residential,"Chicago, IL - Bucktown",0.955406412,66,97,62,222.5695479,409900,219.4019274,$409K,,77,0.166666667,68,8/1/2012,90,10/31/2012,,0.121212121
All Residential,"Chicago, IL - Hegewisch",0.913439266,18,39,85.5,71.41260731,84450,75.95041306,$87K,,14,0.277777778,26,8/1/2012,90,10/31/2012,,0.166666667
All Residential,"Chicago, IL - Old Town Triangle",0.959262577,34,32,45,287.7237852,353949.5,271.7391304,$343K,,32,0.176470588,37,8/1/2012,90,10/31/2012,,0.058823529
All Residential,"Chicago, IL - Avondale",0.973495182,91,108,46,120.4201681,179900,91.71195652,$169K,,121,0.263736264,121,8/1/2012,90,10/31/2012,,0.296703297
All Residential,"Chicago, IL - Galewood",0.976746997,42,63,51,100.1972057,148700,81.62603323,$128K,,68,0.19047619,74,8/1/2012,90,10/31/2012,,0.357142857
All Residential,"Chicago, IL - East Garfield Park",0.91301267,37,75,86.5,28.17049018,39900,21.57502496,$30K,,55,0.216216216,62,8/1/2012,90,10/31/2012,,0.189189189
All Residential,"Chicago, IL - Gladstone Park",0.962221337,7,8,111,141.045566,183900,137.1101892,$188K,,6,0,8,8/1/2012,90,10/31/2012,,0.142857143
All Residential,"Chicago, IL - The Gap",1.106063744,3,14,13,99.94444444,179900,42.5,$85K,,11,0.666666667,17,8/1/2012,90,10/31/2012,,0.666666667
All Residential,"Chicago, IL - Beverly",0.967875449,44,95,55.5,146.6785555,267450,130,$208K,,62,0.227272727,70,8/1/2012,90,10/31/2012,,0.159090909
All Residential,"Chicago, IL - Greater Grand Crossing",0.942528982,50,163,72,28.58974359,59650,21.15384615,$36K,,92,0.12,71,8/1/2012,90,10/31/2012,,0.26
All Residential,"Chicago, IL - Edgewater Glen",0.955349451,8,3,34,240,450000,241.6166619,$486K,,5,0.375,8,8/1/2012,90,10/31/2012,,0
All Residential,"Chicago, IL - West Side",0.975933882,1040,1541,47,92.52094886,179500,115.2645503,$190K,,1429,0.236538462,1353,8/1/2012,90,10/31/2012,,0.262247839
All Residential,"Chicago, IL - DePaul",0.953863624,41,32,71,322.2580645,799000,306.7307692,$560K,,23,0.146341463,35,8/1/2012,90,10/31/2012,,0.146341463
All Residential,"Chicago, IL - South Side",0.958223314,481,1195,71,55.71895425,89950,43.47338885,$66K,,787,0.155925156,711,8/1/2012,90,10/31/2012,,0.228690229
All Residential,"Chicago, IL - West Garfield Park",0.925582214,23,66,101,18.42001248,39900,9.812667261,$25K,,39,0.086956522,37,8/1/2012,90,10/31/2012,,0.260869565
All Residential,"Chicago, IL - Lake View",0.960514601,484,541,74,245.8333333,364950,219.3937551,$345K,,506,0.159090909,539,8/1/2012,90,10/31/2012,,0.117768595
All Residential,"Chicago, IL - Humboldt Park",0.975886479,167,311,57,66.80071492,129000,63.38742394,$115K,,280,0.19760479,230,8/1/2012,90,10/31/2012,,0.261904762
All Residential,"Chicago, IL - West DePaul",0.944672385,5,18,151,269.1908714,491750,416.8099775,$380K,,12,0,12,8/1/2012,90,10/31/2012,,0
All Residential,"Chicago, IL - Hermosa",0.98337247,28,77,41,88.36944128,137450,71.30124777,$110K,,70,0.25,57,8/1/2012,90,10/31/2012,,0.428571429
All Residential,"Chicago, IL - Kilbourn Park",0.979484526,10,18,108.5,120.0961538,164900,100.8101146,$162K,,13,0.2,5,8/1/2012,90,10/31/2012,,0.5
All Residential,"Chicago, IL - Tri-taylor",0.97695165,8,25,87,85.30774166,120000,89.48365704,$98K,,24,0,23,8/1/2012,90,10/31/2012,,0.125
All Residential,"Chicago, IL - Albany Park",0.963449874,98,125,59.5,115.9589831,169900,93.82628742,$145K,,122,0.234693878,133,8/1/2012,90,10/31/2012,,0.265306122
All Residential,"Chicago, IL - West Lawn",0.971727926,97,167,47,91.42328982,121000,85.98051226,$105K,,141,0.257731959,146,8/1/2012,90,10/31/2012,,0.309278351
All Residential,"Chicago, IL - Central Chicago",0.972148029,1231,1383,60,300,349000,274.8212942,$320K,,1284,0.205523964,1352,8/1/2012,90,10/31/2012,,0.255077173
All Residential,"Chicago, IL - Lincoln Park",0.96114741,382,400,63,290.8181818,482250,273.125,$450K,,368,0.191099476,370,8/1/2012,90,10/31/2012,,0.114882507
All Residential,"Chicago, IL - South Commons",1.095638731,10,12,37,50.67236246,39000,35.33333333,$39K,,15,0.4,15,8/1/2012,90,10/31/2012,,0.5
All Residential,"Chicago, IL - Mount Greenwood",0.936335207,28,64,37.5,147.5799836,179900,149.8335183,$175K,,51,0.25,36,8/1/2012,90,10/31/2012,,0.107142857
All Residential,"Chicago, IL - Norwood Park East",0.920807166,44,50,93,155.158371,214450,153.4870641,$197K,,36,0.25,47,8/1/2012,90,10/31/2012,,0.088888889
All Residential,"Chicago, IL - Chrysler Village",0.904865842,6,14,52.5,74.42368421,73500,109.178475,$113K,,14,0,14,8/1/2012,90,10/31/2012,,0.166666667
All Residential,"Chicago, IL - Horner Park",0.908733767,7,17,106,229.6185442,339900,194.2255435,$338K,,19,0.142857143,18,8/1/2012,90,10/31/2012,,0
All Residential,"Chicago, IL - Old Norwood Park",0.945005917,8,7,89.5,325.1833741,399000,187.8429472,$384K,,5,0.375,3,8/1/2012,90,10/31/2012,,0.125
All Residential,"Chicago, IL - Kelvyn Park",1.009701155,10,9,60,83.43014332,155000,86.72431571,$166K,,6,0.3,9,8/1/2012,90,10/31/2012,,0.4
All Residential,"Chicago, IL - McKinley Park",0.979023072,22,30,53,123.4189723,189500,114.4671202,$142K,,27,0.181818182,29,8/1/2012,90,10/31/2012,,0.409090909
All Residential,"Chicago, IL - Archer Heights",1.054250434,23,23,63,106.8124474,127000,75.46294134,$117K,,21,0.130434783,30,8/1/2012,90,10/31/2012,,0.391304348
All Residential,"Chicago, IL - Carl Sandburg Village",0.958236911,36,14,46.5,237.7168647,183500,220.3703704,$181K,,29,0.138888889,34,8/1/2012,90,10/31/2012,,0.083333333
All Residential,"Chicago, IL - River North",0.983654726,101,87,35,310.4117647,350000,290.6403941,$355K,,109,0.306930693,106,8/1/2012,90,10/31/2012,,0.376237624
All Residential,"Chicago, IL - K-Town",1.000447435,10,16,69,15.10416667,35000,10.20642202,$16K,,10,0.3,7,8/1/2012,90,10/31/2012,,0.4
